title,url,hint,hint_reasons,tags,description,keep,notes
10 in 1 game-a-week bundle!,https://caterwauling.itch.io/10-in-1-game-a-week-bundle,REMOVE,"-chill,racing game",,"10 games, each made in a week! Some were a bit of a bust, others were pretty rad. These games are simple prototypes, proof of concepts, or unfinished works. This bundle serves as a bit of a time capsule for me, but also for the curious or those who might go on a similar journey! Week 1 - DRIFTING Through Time Theme: 10 seconds or less. Turning your car sideways is SO COOL it FREEZES TIME ! Drift to stop time, get as many laps as you can before time runs out! Week 2 - Dog Ownership Simulator Them",,
10S,https://owch.itch.io/10s,?,,,a game of 10S,,
12 Labors,https://sulcata.itch.io/12-labors,KEEP,"+death,loss",,"Ryn is back home after a colossal screw-up. With her parents busy looking after her dying grandfather, Ryn is all alone with both her thoughts and some severely overgrown garden statues. But digging into the yardwork might be just what she needs to get through some tough feelings. Playtime : 30 minutes Controls : Mouse input only. Content warnings: alcohol use, hospitalization, death Made by Brendan McLeod and Rachel Steele . Developed in Unity in Austin, Texas. ink narrative language by inkle. ",,
12 orbits,https://nothing-to-be-scared-of.itch.io/12-orbits,?,,,"12 orbits is the only game for up to 12 players at once, no matter what you play on. All you need is a single keyboard, touchscreen, gamepad, dance mat, makey makey... Features Local competitive multiplayer for everyone at once. Anywhere. On anything. 4 vastly different game modes to choose from Setup takes seconds, even for 12 players at once The basic mechanics are simple and can be taught to a group quickly ...yet the physical nature of the game provides you with a lot of room for mastery One",,
1365,https://shadybug.itch.io/1365,KEEP,"+dark,monsters,anxiety",,"CONTENT WARNING: 1365 contains themes of depression, anxiety, and suicidal ideation. Please stay safe! Visit 1365 on GitHub! Please let me know if you find any bugs! Hello. My name is Anxiety. Here, on your shoulder. This is your first day of high school. You don't belong here. In the dim, abandoned halls of the school, there are monsters - monsters with names like Guilt and Dysphoria, Insomnia and the Expectations that you can't seem to clear. With no clear way to leave, no way to get rid of th",,
1977 Radio Aut,https://alexkalopsia.itch.io/1977-radio-aut,?,,,A short interactive story about Peppino Impastato and his life-long fight against Sicilian Mafia.,,
20001 A Space Felony,https://nationalinsecurities.itch.io/2000to1-a-space-felony,KEEP,"+murder,mystery,detective,investigation",,"2000:1: A Space Felony is a murder mystery courtroom drama set aboard the USS Endowment, an interplanetary Spacecraft that has lost communication with Earth. Utilising your camera and demonstrating your keen detective skills, you must document your findings, and piece together the crew's final hours from the aftermath. This photographic evidence is then applied in a cross-examination of the crime's prime suspect; MAL, the ship's on-board AI system. If MAL is guilty, it is your responsibility to ",,
21G,https://adalil.itch.io/21g,REMOVE,-ttrpg,,"[ENG] Alpha version released! You can read more about it in the devlog. ------------------- //In 21G the large part of the solar system has been colonized. Energy is plentiful, but resources are scarce. Corporations, piracy and mining unions clash with one another to get a hold on them. 21G is a TTRPG about a spacecrew that uses a 54 card deck and blackjack inspired rules to resolve outcomes. You might have spaceship battles, faction intrigues and adrenaline close quarters combats. I'm working o",,
23 Deaths From Hell,https://yoyoyollie.itch.io/23-deaths-from-hell,KEEP,"+death,fps",,"FAST-PACED FPS CARD BATTLER! Defeat foes in the purgatory, but your only way of progression is death. NOTE: THIS GAME IS MUCH EASIER WITH HEADPHONES Cards- a breakdown (read these if you donât want a learning experience) Time- the number in blue. Shows how long the cardâs cooldown is, in milliseconds Repetition- the number in yellow. How many times this attack repeats per use Damage- the number in red. Shows how much damage per attack Durability- the number in green. Shows how many times you",,
24-Hour Growth,https://zera-dev.itch.io/24-hour-growth,REMOVE,-idle game,,Description 24-Hour Growth is a mini idle game about growing a virtual sunflower over 24 hours. That's it! ^^ Just remember to water it and give it sunlight every once in a while! (Auto Save is included!) Enjoy :) Hotkeys TAB - Switch color palette ESC - Closes the game MB left - Interact with buttons CTRL + R - Deletes your save and plants a new sunflower,,
2d flight simulator,https://antares9999.itch.io/2d-flight-simulator,?,,,"There is a new version with anhother plane with minor weidht, this airplane its more moveble, and more easey but still real. Another version using F22 Raptor is released! Controles: left shift y left control: manejar potencia ASDW o flechas: manejar timon F: Change flaps (1 to 4) G: Gear up / down AcÃ©rcate a la gota amarilla para echar gasolina (se te resta dinero) AcÃ©rcate a  las box crates para empezar una mision AcÃ©rcate a las dianas para acabar mision",,
34 spell swap,https://cowboy-starshine.itch.io/3-4-spell-swap,MIXED,+mystery -dating sim,,"A student at a magical college wakes up under some sort of enchantment. The spell slash potion slash whatever it is has one known effect: it turns the victim into a woman! Now, that student's working together with one of four schoolmates to carry out a mission:  to find the kind helper perpetrator and thank them profusely get to  the truth of this mystery! This game is the second in my Alphabet Dating Sim Series ! Credits BGMï¼ æã®é³æ¥½åºå ´ (HOSHI NO ONGAKU HIROBA) Songs: ãã¡ã³ã¿ã¸ã",,
4-LEGGED-HEROINE,https://moustachelemon.itch.io/4-legged-heroine,?,,,"4-LEGGED-HEROINE is a short-game inspired by the endless runner genre, set in a reality inspired by the COVID19 situation. We join Agent Doggo, a St. Bernard immune to the virus, in her mission of delivering medical supplies. This project was conceived as part of the Coronavirus GameJam but didn't make it in time. However, the development team  decided to release it anyways.",,
6 Feet Behind,https://apehardware.itch.io/6-feet-behind,KEEP,+death,,"Made for the GMTK jam 2020 ( Theme: Out Of Control ) A vengeful spirit and a mysterious group are out to get you. The former has offered you a deal: lead her to the members of the later and you'll get to live a bit more. However, if she catches you, it's over. Make the insane apparition touch the enemies to defeat them, and avoid touching any of them yourself. Instructions: Arrow keys / WASD: move. Esc: pause/resume. You can take 3 hits from the enemies, but contact with the ghost is an instant ",,
6 pack of craft games,https://ash-k.itch.io/6pack,REMOVE,-chill,,"I like making games. Sometimes i make them just for the sake of making them and to enjoy the process. Here are 6 things that are too small to be posted or sold on their own, but are still something I'm proud of and want to share with the world. Includes versions for all major OS + sourcecode for godot projects Chat Stashers: RP as undercover agents transmitting secret messages in plain sight. Played in your groupchat of choice, preferably full of people who are not aware you & your pals are play",,
8 Bit Space (ZX Spectrum Inspired Platformer),https://glassfroggames.itch.io/8-bit-space,REMOVE,-casual,,"--- Now available for PC --- 8 Bit Space is a 2D platformer inspired by games from the 8-bit era of gaming and with particular emphasis on the ZX Spectrum. New Update for PC now includes 'Old Skool' mode which ramps up the difficulty with more enemies and no continues, once you lose all 3 lives its game over! OBJECTIVE A new star system has just been discovered. Within one of the systems is an ancient portal, its origins or where it leads are unknown. It looks to be powered by 5 relics. With the",,
9 Till Void,https://benal.itch.io/9tillvoid,KEEP,+dark,,"WHAT IS 9 TILL VOID? 9 Till Void is a turn-based deckbuilding roguelike that features neither deck nor cards. As the newly-appointed Spellsword of these lands, you must fight your way through the corruption, with an arsenal of carefully chosen spells, to reach the source of darkness and destroy it from within. POSITIONAL SPELL SLINGING 9 Till Void is played on a 9x9 grid, where each row correlates with one of your spell slots. You can only cast a spell if your character occupies the same row on ",,
A Chaotic Collection,https://jayskibean.itch.io/a-chaotic-collection,KEEP,+horror,,"WARNING: These games contain flashing lights and loud noises. I recommend playing these games in 16x9 resolution for best experience. Summary In Back-Alley Slasher , you play as Dan. Dan is a dude who's stranded in the big city and has run out of gas. The only logical solution is to explore the sketchy and obviously dangerous back-alley area of the city and scavenge for conveniently placed gas cans. Find all eleven gas cans and return to your car to win! Beware, the Graw City Slasher is at large",,
A Day in the Woods,https://retroepic.itch.io/a-day-in-the-woods,?,,,"Goodness, what big teeth you have, Grandma! Sneak past the big bad wolf, avoid massive spiders and distract bears to solve each puzzling level and get Little Red Riding Hood safely to Granny's house. In A Day in the Woods â a stylish re-imagining of the traditional sliding puzzle game â you play as Little Red Riding Hood's wispy winged sprite friend. It's up to you to solve each hexagon-tiled level in the shortest number of moves possible and get Little Miss Red safely to Granny's house. You",,
A Dream About a Room With Four Doors,https://matzerath.itch.io/a-dream-about-a-room-with-4-doors,KEEP,+nightmare,,"Ever wanted to be trapped in a recurring nightmare? Sure, we all do! Now here's your chance to plunge into a malevolent DrEaMScApE, and to try to find your way out. A Dream About a Room With 4 Doors puts you in the pajamas of a tormented soul who can't wake up until overcoming the challenges of their own nightmare. Something in the dream-realm wants to keep the sleeper asleep forever -- but now another force has arrived to help find a way out! This game will be evolving over time, with new puzzl",,
A Fistful of Spore Pods,https://joelio1.itch.io/a-fistful-of-spore-pods,?,,,"A brochure adventure for Mothership RPG. The gold rush is over. The spore pods of Hayden V, swelling in the magenta light of a dwarf star, are prized across the galaxy as hallucinogenic cosmetics for the rich. Unfortunately that same star is going to send a life-scouring solar flare over and through the forest moon in 24 hours. The rockâs been picked over, but thereâs rumors of one last great pod bloom, one a prospector team could retire on. Only the desperate would try. But thereâs more t",,
A Game of Changes,https://nunodonato.itch.io/a-game-of-changes,?,,,"Chance and destiny find themselves intermeshed in A Game of Changes . Unravel and decipher the mechanics of these worlds, and journey through the 64 unique puzzles that draw inspiration and teachings from the I Ching [Book of Changes], one of the oldest classic books in human history. Its wisdom originates from philosophical and scientific observations of the laws which rule existence. It invites us to conscientiously look within, at one's own personality, character, perspective and purpose whil",,
A Gang of Weirdos,https://scitydreamer.itch.io/a-gang-of-weirdos,REMOVE,-rpg maker,,"A Gang of Weirdos is a game made in RPG Maker MV for myfirstgamejam so that I could better learn the engine. It's extremely scuffed and I'm unable to update it again because I lost the source files, but maybe you'll still think it's neat. Worlds in the universe die in a spiritual sense when an apocalyptic scenario occurs and it leaves behind a soul. If the world soul is charged up, it can revive the world and the people that have died; however, the only way to do that is to recover other world s",,
A Good Snowman Is Hard To Build,https://draknek.itch.io/a-good-snowman,REMOVE,-adorable,,"An adorable puzzle game about being a monster and making snowmen Every hour, the monster goes out to the weather station in London to check the temperature. They set the price accordingly: 10.3Â°C = $10.30! The normal price is $14.99, so this is 31% off. FAQ Why can't I buy the Steam/iOS/Android/Switch version at this price? Unfortunately we can't automatically change the pricing on other platforms, so this is just available on itch.io for now. Does my purchase include a Steam key? Steam keys ar",,
A Hole New World,https://madgeargames.itch.io/a-hole-new-world,KEEP,+monsters,,"The city is being invaded by monsters from the Upside Down World! You, the Potion Master , must defeat evil all alone, with no tutorials or ""Easy Mode"" to assist you. You'll have to rely on the help of FÃ¤y , your companion fairy, and your potions! Jump and shoot like they did in the good ol' arcade days. Fight enemies in your world and in the Upside Down World! Defeat gigantic bosses and acquire their powers! You already know how to play! The challenge is in the game, not in complicated control",,
A Kishoutenketsu in the countryside,https://remi-tootata.itch.io/a-kishoutenketsu-in-the-countryside,?,,,"Explore the outdoors, find your way through the mazes, face four puzzles and live great adventures ! ""A Kishoutenketsu in the countryside"" is my second exploration of the chinese and japanese narrative structure called kishoutenketsu ( èµ·æ¿è»¢çµ) . I've written some thoughts about it on my (old and obsolete as of April 2020) blog, which you can find HERE . Use the arrows to move. Press Z to cancel your last action. Press R to restart if you are stuck. Have a nice play ! === If you want to fol",,
A Letter to Luna,https://seasalty.itch.io/a-letter-to-luna,?,,,"A very short rhythm game created for the TeenyTiny DragonRuby MiniGameJam. Use the power of music to send your letter! Score well enough and you might even get something back... (For a better experience, play one of the downloads below, as syncing in the browser version is unreliable.)",,
A Light Long Gone,https://muddasheep.itch.io/a-light-long-gone,MIXED,"+dark,creature -chill",,"Welcome to the digital album release of ""A Light Long Gone"", which allows you to listen to individual instruments in any combination you want and explore my music in a more intimate way. You can watch the complete instrumental mix on YouTube , which is a recording of the running application that you can interact with. All of the original songs (which include vocals for the most part) are available for free on YouTube , in addition to Spotify and various other digital music markets. About The Mus",,
A Loan in the Dark,https://yoanb.itch.io/a-loan-in-the-dark,KEEP,+dark,,"*****PLAY IT ON FULLSCREEN***** Pitch : You play as Loan, an 8-year-old child who will have to face his greatest fear: the darkness. Stalked by it, they will have to: Progress and finish the different levels composed of enemies with your different toys; Dodge some enemies by hiding your eyes; Come to the end of your fear by confronting it truly. Controls : Mouse/keyboard : A : move left D : move right S : close eyes Spacebar : jump scroll wheel / 1/2/3/4/5 : select item Left click : throw left R",,
A Lullaby of Colors,https://andyman404.itch.io/lullaby-of-colors,?,,,"This is a blissful psychedelic relaxation experience made for both VR and non-VR. Treat yourself to this virtual refuge from the real world with procedurally generated realms of gentle sounds, sweet-tasting colors, and breathtaking beauty. Find and catch the bouncing spheres to visit different worlds. Find the perfect place to relax and watch the virtual world go by. There are no enemies, quests, guns, or puzzles. There is no objective other than to relax and enjoy. Inspired by "" Wave For Me"" Fa",,
A Magical Tale Cavern Crawler,https://jaiware.itch.io/cavern-crawler,KEEP,+death,,"For each level you complete with you will gain a  key, with that key you can unlock the door nearby in order to progress to the next level! -- In the latest version of the game as of v2.0.0+, it introduced brand new content ""Snow Cavern"" totalling the amount of caverns to 7! In this cavern, you will confront snowmen and new set of unique puzzles! Both saving and loading can be done at any point during your game, This menu can be accessed by pressing the pause button located at the top left of th",,
A Mending,https://sawdustbear.itch.io/a-mending,?,,,"You have been parted from a dear friend for a long time. Now, they have called for you. You are going to visit your friend, and the path is long and it will take many days. As you plan and trace your route on a cloth map(or paper), using needle and thread(or pen), you will use and answer story prompt cards to discover the stories and primary incidents behind your friendship, find strange and wonderful objects and people on your path, and build your own narrative of this particular journey and fr",,
A Message and an Advice.,https://tangledvirus.itch.io/a-message-and-an-advice,?,,,"You are Khurshid, and you are going to die soon, so leave a video message behind, just so a certain someone will have some answers.",,
A Monster's Expedition,https://draknek.itch.io/a-monsters-expedition,MIXED,"+monsters -adorable,relaxing",,"âIt's pretty much glorious. I love A Monster's Expedition. I have fallen for it rather hard.â Eurogamer â[A Monster's Expedition] never forces an answer out of you, and that's its greatest strength. If you're stuck, simply head in another direction.â USGamer âItâs a warm and cosy puzzle game with brain-teasers that will sooth your synapses rather than fry themâ PC Gamer From some of the best puzzle designers in the world comes A Monster's Expedition , an adorable and relaxing open ",,
A Mortician's Tale,https://laundrybear.itch.io/morticians-tale,KEEP,"+dark,death",,"A Mortician's Tale takes about 1 hour to play. It's a short, but deeply meaningful experience. A Mortician's Tale is a story-driven death positive video game where you play as a mortician tasked with running a funeral home. Take on the role of recent funeral direction graduate Charlie as she learns the ropes of the business and industry. Prepare the bodies of the deceased (via embalming or cremation), attend their funerals and listen to their loved ones' stories, and interact with Charlie's cowo",,
A NIGHTMARE'S TRIP,https://skyhour.itch.io/a-nightmares-trip,KEEP,"+violent,nightmare,creature",,"Adrien, a creature born of a young childâs nightmares, takes a little summer vacation. A NIGHTMARE'S TRIP is a short visual-novel game from the development team behind the upcoming RE: DECEIVED VOICE . Meet strange new characters. Tour around a colorful city. Turn the nightmares of the past into a fantastical dream made real. Features: Enjoy a 2-3 hour modern-fantasy punk narrative set in familiar places! Featuring original art from Moxie Riles (RE: DECEIVED VOICE), Christina Crichlow (Blissfu",,
A Normal Lost Phone,https://dearvillagers.itch.io/a-normal-lost-phone,?,,,"A Normal Lost Phone is a game about exploring the intimacy of an unknown person whose phone was found by the player. OUT NOW on PC, MAC, LINUX, iOS and Android! Through the interface of a mobile phone, the player must discover what happened to its owner, Sam. Digging through secrets scattered among apps, text messages and photo galleries, the player-voyeur starts witnessing the emotions of Sam, and behind the apparent light-heartedness of a teenage story, their questioning on coming of age, homo",,
A Short Hike,https://adamgryu.itch.io/a-short-hike,REMOVE,-peaceful,,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park. Follow the marked trails or explore the backcountry as you make your way to the summit. Along the way, meet other hikers, discover hidden treasures, and take in the world around you. Explore the island any way you like. Choose your own path to follow and see where it leads you! Hike at your own pace — thereâs no need to rush to the summit! Take your time fishing along the river banks or swimming by",,
A Snake's Tale,https://m12y.itch.io/a-snakes-tale,?,,,"Hissssssss A Snake's Tale is a puzzle game about snakes in cramped places. Clear a path to get to the hole, eat some eggs along the way, and make sure to press all the buttons. 75+ brain-crushing puzzles (okay, not all of them are ""brain-crushing"" hard) 5 different environments, each with a unique mechanic A whole ton of snakes Play with mouse, keyboard, or gamepad Procedurally generated art with a unique style",,
A Wish Upon A Star,https://beiwerk.itch.io/wish-upon-a-star,?,,,"Childhood Dreams Follow a small child with great imagination and one big wish on the way to make it happen. Find a path through colorful puzzles and meet people who are more than happy to help! About the game The game was created for the seventh Wizard Jam , a bi-annual Idle Thumbs community-run game jam that runs for two weeks. Though I tried my best to avoid bugs, there might be some rough edges here and there. Controls Use the left and right mouse buttons to move/rotate highlighted objects. C",,
A e r o c r a f t,https://louve-systems.itch.io/aerocraft,?,,,A game of free flight with no objectives. Made in just a few hours by @tahitip4ncake and @rackover,,
ACIDTRIP,https://jrush64.itch.io/acidtrip,?,,,"UPDATE: MAJOR UPDATE COMING SOON. WILL FIX ALL ISSUES. This game is trippin!!! A boss rush survival game where you attempt to survive and defeat all the bosses if you can.... Can also be downloaded. The player changes color between blue and yellow. Shoot the right color to repel the opposing blocks as they keep coming closer. Shooting the wrong block makes them go faster. If they reach you, the game is over. The ? question mark signs are power ups which can lead to presents or sabotage. You can ",,
ADLENGINE - Roleplay  Text Adventure Engine,https://fun95.itch.io/alentine,?,,,your friend is single and he thinks that he could never be succesful. lets fix that,,
AIdol Artificial Intelligence Idol,https://mysterycorgi.itch.io/aidol,MIXED,"+meta,existential -cute,adorable",,">> Demo Here << Set fifteen minutes into the future, AIdol is about a new craze thatâs been sweeping Japan: virtual idols. Virtual idols look like normal humans, but theyâre made of wire and circuitry. They can sing better, dance better, and entertain better than any human could ever hope to, and their devotion to their jobs is unfailing. The protagonist, Hana, is a young high school student who loves virtual idols - particularly Aiko. Aiko is the postergirl of the famous company Lyriq, and ",,
ALL-STARS DUNGEONS AND DIAMONDS,https://giantenemylabs.itch.io/asdad,?,,,"ALL-STARS DUNGEONS AND DIAMONDS is a competitive Arcade-style game where two players face each other in a diamond-collecting race! The player with the largest number of gems at the end of the round wins! Collecting gems will unearth items with different effects, that will either give you a boost or will mess with your opponent. Use them wisely and find your way through the dungeon to outmatch your adversary and emerge victorious! Intense 2 Player (local multiplayer) Competitive Arcade action! 7 ",,
ANCIENT OBSERVER,https://noonmarkart.itch.io/ancientobserver-ost,?,,,"This soundtrack consists of five tracks. It features three songs from the game as well as two bonus tracks! Track List: 1) Broken Window 2) ANCIENT OBSERVER  (Main Theme) 3) Raunchy Teen Music BONUS 1 - DYING HEARTH  (Prototype Music) BONUS 2 -  Still the Same Stars Separately, you can download a fan song written by Altius Volantis! This soundtrack is free to download (so is the game!) but if you'd like to send me a tip, my Ko-Fi is here! Thank you! If you haven't checked out ANCIENT OBSERVER ye",,
APICO,https://tngineers.itch.io/apico,?,,,"APICO is a laid-back beekeeping sim game about breeding, collecting, & conserving bees! Leave your boring city job behind to return to your family home in Port APICO and get back to your beekeeping roots. Set in a series of lush environments, APICO uniquely combines resource gathering, biology, and beekeeping minigames, taking ideas from a mix of real-life and fantasy apiculture & floriculture. On your journey you'll rediscover lost species, cross-breed new bees, and help repopulate the islands.",,
ARGH-P-G,https://nicolas-blois.itch.io/argh,?,,,"About Argh Greetings, shipmates! Welcome to ARGH! a 3D Battle Royale where you'll have to improvise the best strategies to survive. Navigate your boat deftly and be ready to explore every nook and cranny of the map! As you explore, collect and wisely use the various treasures of the seas to get rid of opposing captains and build yourself a solid reputation across the oceans! Nevertheless, beware of Oblivion! This scourge sweeps away memories and plunges captains without exploits into oblivion...",,
Abomination Tower,https://suggo.itch.io/abomination-tower,?,,,"Abomination Tower is a humorously macabre, procedurally generated 2D platformer. You play as Headless, the rejected creation of a mad scientist. Headless is trapped in the tower with other dangerous abominations. You must journey up the tower to escape! Along the way you unlock heads that can be equipped, each with its own unique ability to aid in your escape. Best played with a controller. System Requirements OS: Windows XP+, Mac OS X 10.6+, Linux Ubuntu Processor: 2Ghz+ Memory: 2GB RAM Graphic",,
Above The Fallen,https://hexnite.itch.io/above-the-fallen,KEEP,+dark,,"Above: The Fallen is a 2D side-scrolling, puzzle - platformer game that is centered around travelling upwards instead of to the left or right. The goal is to climb the trees of an ancient and mystical forest in order to break through the canopy. You must manipulate two main characters at the same time throughout the game, solve puzzles, and avoid the hazards of this dark forest. Mankind has been driven from their homes among the trees by the Night King, a nightmarish beast whose origin has been ",,
AbsTRace (Chapter 1),https://r734.itch.io/abstrace-demo,?,,,"AbsTRace sets you in a racing simulation. While the racing simulation itself might seem rather bare bones, other aspects extend beyond the apparent function of the program that seems to be hosting a cast of distraught characters. The people inside don't seem to know how or why they ended up in there and beyond racing to the first place at the finish line, it is unclear what the goals of it all are. Soundtrack",,
Active Time Event!!! a d66 of TTJRPG Backgrounds for Troika!,https://wilderwhim.itch.io/active-time-event-a-d66-of-ttjrpg-backgrounds-for-troika,MIXED,+creature -cute,,"[Mandatory warning that this Zine is specifically intended for use with the Contemporary OSR Classic: Troika! by Melsonian Arts Council. You can find the precursor zine called Active Time Battle!!! for FREE, here! ] Up for a realm hopping adventure? You better get comfy with making weird friends. Iâm talking: Uncomfortably Hot Time Traveling Lesbians™ & Canonically Trans Adventurers (probably/most definitely the least weird thing on this list, actually. I just want the fact that Queer characte",,
Adventure Lamp,https://ryguy.itch.io/adventurelamp,KEEP,+creature,,"Story A cave-in has separated Simon, the highly prepared archaeologist, from his equipment. With nothing but a head lamp and his wits, Simon would very much like to stay alive long enough to return his notes to The Academy for study. He must get creative with his hat as he discovers hostile creatures, ancient locks, and hints of a terrible monster lurking in the depths. After such a treacherous journey, a promotion wouldn't hurt either. Features Over 150 challenging levels Classic platforming wi",,
Adventures of Bertram Fiddle,https://bertram-fiddle.itch.io/adventures-of-bertram-fiddle,KEEP,"+murder,mystery,point-and-click,adventure game",,"In a quirky take on a Victorian London inhabited by mysterious, strange characters, self proclaimed leading explorator, Bertram Fiddle, finds himself in a bit of pickle. Help him follow the clues and track down the elusive serial killer known only as Geoff the Murderer before he strikes again. ""It is quite possibly one of the finest point-and-click comedy murder mystery adventure games set in Victorian London you will play today"" - Bertram Fiddle Winner of the Best Narrative Award 2015 - Tokyo I",,
Adventures of a Radish(Full),https://sorceressgamelab.itch.io/adventures-of-a-radishfull,KEEP,+creature,,"Welcome to Adventures of a Radish! A new retro platformer where you explore 7 worlds. Meet lots of fun and odd creatures along the way, collect lots of fun collectibles and find hidden bonus levels! This Game is playable with Keyboard or game controller(xbox, ps4), Adjust the buttons to your needs in the Input Settings when you first launch the game! Basic Keyboard controls: Use A,S,W,D to move. Use W or the up arrow key for entering doors. Space is for jump. Press P to pause/unpause Escape to q",,
Aerannis,https://ff.itch.io/aerannis,KEEP,"+twine,monsters",,"Plovdiv, the year 2XXX. Men have ceased to exist. Society is wholly under the control of mysterious shapeshifters who take the form of humans and monsters. Few believe the reports of their existence, and those who discover their existence don't often live long enough to tell the tale. Aerannis is a game in which an assassin, Ceyda Farhi, uncovers the truth. Her missions involve sneaking around, taking hostages, using human shields, laying down traps, and assassinating those who are a part of the",,
Aesthetic,https://wick.itch.io/aesthetic,?,,,"Made for coming out day 2019, because apparently I can only express myself by making games. Takes about 20 minutes. Headphones recommended. Controls: Mouse to click links, or Enter to continue if you get stuck.",,
Affinity,https://autumnmadesomething.itch.io/affinity,?,,,"This game was created for the WizJam2k19 game jam, its a simple, single player, one page game about finding your magic. The guidelines are very flexible, if you don't have a favorite di you could instead talk through the list you made and settle on the one that you think fits the most, as an example. Relax, enjoy yourself, and find your magic.",,
